// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4D4A6
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Year	Month	Day	Second	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]	Latitude	Longitude	Altitude	Vel_E	Vel_N	Vel_U
04221														-2.822580	-9.149219	-0.504216	0.998763	-0.044583	0.022040	0.044871	0.998911	-0.012751	-0.021447	0.013724	0.999676						
04222														-5.232873	-9.325560	-0.300938	0.998302	-0.053284	0.023518	0.053570	0.998496	-0.011671	-0.022861	0.012911	0.999655						
04223														-3.908395	-9.189305	-0.370561	0.998633	-0.046108	0.024611	0.046269	0.998911	-0.006000	-0.024307	0.007131	0.999679						
04224														-2.461407	-9.020408	-0.678146	0.998573	-0.046643	0.025997	0.046775	0.998895	-0.004494	-0.025759	0.005703	0.999652						
04225														-3.418103	-9.119405	-0.610561	0.998066	-0.055875	0.027262	0.056060	0.998409	-0.006062	-0.026880	0.007578	0.999610						
04226														-3.881162	-9.294480	-0.497258	0.997983	-0.056829	0.028307	0.056982	0.998364	-0.004636	-0.027997	0.006239	0.999589						
04227														-2.135763	-9.244894	-0.593640	0.997716	-0.060124	0.030796	0.060293	0.998170	-0.004574	-0.030465	0.006421	0.999515						
04228														-2.270958	-9.286583	-0.417804	0.996501	-0.076167	0.034416	0.076509	0.997030	-0.008748	-0.033647	0.011351	0.999369						
04229														-2.786142	-9.358386	-0.392846	0.994294	-0.099153	0.039342	0.099764	0.994914	-0.013890	-0.037765	0.017736	0.999129						
04230														-4.450732	-9.553225	0.014927	0.992324	-0.115665	0.043756	0.116441	0.993075	-0.015607	-0.041648	0.020582	0.998920						
04231														-3.502243	-9.412690	-0.012361	0.991551	-0.120386	0.048320	0.121157	0.992543	-0.013359	-0.046351	0.019101	0.998743						
04232														-1.933695	-9.076461	0.034876	0.989172	-0.136716	0.053354	0.137673	0.990369	-0.014687	-0.050832	0.021874	0.998468						
04233														-4.571604	-8.976566	-0.195670	0.984950	-0.163719	0.055407	0.165050	0.986076	-0.020319	-0.051309	0.029158	0.998257						
04234														-5.830456	-9.283854	-0.395939	0.984536	-0.166201	0.055369	0.167429	0.985715	-0.018288	-0.051538	0.027275	0.998298						
04235														-2.565619	-9.400283	-0.694256	0.985368	-0.161137	0.055533	0.162017	0.986719	-0.011690	-0.052911	0.020516	0.998388						
04236														-2.294120	-9.440281	-0.892925	0.982888	-0.175727	0.055234	0.176557	0.984235	-0.010482	-0.052521	0.020055	0.998418						
04237														-4.620997	-9.270978	-0.408487	0.981227	-0.185251	0.053620	0.185905	0.982540	-0.007433	-0.051306	0.017262	0.998534						
04238														-3.275731	-9.176490	-0.415732	0.982219	-0.180328	0.052237	0.180635	0.983549	-0.001188	-0.051163	0.010602	0.998634						
04239														-2.407545	-9.469797	-0.569097	0.981779	-0.182703	0.052239	0.182882	0.983134	0.001378	-0.051609	0.008200	0.998634						
04240														-3.918444	-9.585826	-0.521177	0.981940	-0.181704	0.052702	0.181586	0.983350	0.007072	-0.053109	0.002625	0.998585						
04241														-2.354092	-9.341624	-0.731174	0.982769	-0.176834	0.053800	0.176166	0.984214	0.016955	-0.055949	-0.007185	0.998408						
04242														-2.333139	-9.406934	-0.313372	0.982147	-0.179793	0.055336	0.178648	0.983595	0.025035	-0.058929	-0.014703	0.998154						
04243														-3.187335	-9.409115	-0.069255	0.981377	-0.183569	0.056579	0.181957	0.982770	0.032484	-0.061568	-0.021584	0.997870						
04244														-3.018473	-9.116448	0.088748	0.981923	-0.180059	0.058363	0.177853	0.983200	0.041058	-0.064775	-0.029936	0.997451						
04245														-2.055862	-9.299843	-0.058521	0.981318	-0.182410	0.061170	0.179788	0.982630	0.045980	-0.068495	-0.034124	0.997068						
04246														-2.931508	-9.473232	-0.371573	0.979270	-0.192214	0.063902	0.189452	0.980772	0.046847	-0.071678	-0.033770	0.996856						
04247														-3.763843	-9.203580	-0.019728	0.979555	-0.189434	0.067725	0.186256	0.981199	0.050564	-0.076030	-0.036916	0.996422						
04248														-1.862128	-8.842624	-0.002325	0.978875	-0.190876	0.073288	0.187481	0.980956	0.050759	-0.081581	-0.035947	0.996018						
04249														-3.095677	-8.925357	0.376286	0.976046	-0.203338	0.077386	0.200357	0.978707	0.044597	-0.084807	-0.028024	0.996003						
04250														-3.927061	-9.105567	0.694177	0.976306	-0.200568	0.081237	0.197849	0.979403	0.040323	-0.087652	-0.023295	0.995879						
04251														-1.968836	-9.110229	0.312876	0.976344	-0.198577	0.085558	0.196315	0.979945	0.034166	-0.090627	-0.016561	0.995747						
04252														-2.450182	-9.387959	0.189697	0.973410	-0.210717	0.089843	0.209443	0.977539	0.023492	-0.092775	-0.004051	0.995679						
04253														-4.571358	-9.488350	0.359374	0.972068	-0.215644	0.092640	0.215098	0.976462	0.015959	-0.093901	0.004414	0.995572						
04254														-3.251863	-9.177719	0.554166	0.974380	-0.203869	0.094982	0.203507	0.978979	0.013578	-0.095753	0.006100	0.995386						
04255														-1.905614	-9.169674	0.496120	0.973935	-0.205074	0.096931	0.205299	0.978669	0.007759	-0.096454	0.012343	0.995261						
04256														-3.343336	-9.612664	0.403048	0.972244	-0.212369	0.098191	0.213310	0.976984	0.000935	-0.096129	0.020036	0.995167						
04257														-3.748786	-9.675583	0.091222	0.971586	-0.215102	0.098752	0.216374	0.976308	-0.002234	-0.095932	0.023538	0.995110						
04258														-3.270880	-9.451914	-0.040795	0.972255	-0.212306	0.098219	0.213537	0.976933	-0.002079	-0.095512	0.022995	0.995163						
04259														-3.107618	-9.360843	0.179683	0.973516	-0.207073	0.096893	0.208071	0.978114	-0.000207	-0.094729	0.020362	0.995295						
04260														-2.281859	-9.321614	0.045063	0.973197	-0.209043	0.095860	0.210036	0.977694	-0.000278	-0.093664	0.020404	0.995395						
04261														-3.148360	-9.413223	0.018314	0.972364	-0.213546	0.094370	0.214591	0.976703	-0.000952	-0.091969	0.021176	0.995537						
04262														-2.690909	-9.320588	-0.140071	0.972133	-0.215003	0.093438	0.216106	0.976368	-0.001737	-0.090856	0.021881	0.995624						
04263														-3.308686	-9.576620	0.091031	0.972388	-0.214299	0.092402	0.215430	0.976517	-0.002324	-0.089734	0.022166	0.995719						
04264														-3.223795	-9.510028	-0.202771	0.973365	-0.210020	0.091931	0.210834	0.977521	0.000876	-0.090048	0.018530	0.995765						
