// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4D4C2
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Year	Month	Day	Second	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]	Latitude	Longitude	Altitude	Vel_E	Vel_N	Vel_U
04221														-1.427529	-9.483712	-1.779064	0.999809	-0.019276	-0.003322	0.019231	0.999731	-0.012972	0.003571	0.012905	0.999910						
04222														-1.415694	-9.482658	-1.789953	0.999808	-0.019354	-0.003030	0.019310	0.999717	-0.013923	0.003298	0.013862	0.999898						
04223														-1.384856	-9.581713	-1.744162	0.999805	-0.019556	-0.002617	0.019514	0.999698	-0.014946	0.002908	0.014892	0.999885						
04224														-1.373273	-9.536874	-1.699714	0.999803	-0.019725	-0.002143	0.019689	0.999680	-0.015893	0.002456	0.015847	0.999871						
04225														-1.323867	-9.528866	-1.632584	0.999797	-0.020070	-0.001736	0.020038	0.999654	-0.017054	0.002078	0.017015	0.999853						
04226														-1.430496	-9.520388	-1.637506	0.999782	-0.020819	-0.001385	0.020790	0.999615	-0.018368	0.001767	0.018336	0.999830						
04227														-1.480372	-9.570471	-1.624672	0.999768	-0.021500	-0.001023	0.021476	0.999574	-0.019752	0.001447	0.019726	0.999804						
04228														-1.456065	-9.599148	-1.636372	0.999754	-0.022192	-0.000650	0.022174	0.999535	-0.020930	0.001114	0.020910	0.999781						
04229														-1.460390	-9.584681	-1.639947	0.999734	-0.023041	-0.000239	0.023031	0.999497	-0.021779	0.000740	0.021768	0.999763						
04230														-1.490239	-9.535446	-1.690647	0.999711	-0.024052	0.000176	0.024050	0.999460	-0.022396	0.000362	0.022394	0.999749						
04231														-1.472515	-9.578413	-1.816545	0.999696	-0.024663	0.000527	0.024669	0.999431	-0.023000	0.000040	0.023006	0.999735						
04232														-1.459929	-9.604635	-1.891225	0.999689	-0.024913	0.000832	0.024926	0.999413	-0.023489	-0.000246	0.023503	0.999724						
04233														-1.416522	-9.480750	-1.829184	0.999689	-0.024923	0.001065	0.024941	0.999410	-0.023618	-0.000476	0.023638	0.999720						
04234														-1.336584	-9.449449	-1.777831	0.999666	-0.025793	0.001338	0.025817	0.999389	-0.023574	-0.000729	0.023601	0.999721						
04235														-1.335345	-9.461534	-1.817628	0.999634	-0.026990	0.001686	0.027023	0.999354	-0.023689	-0.001046	0.023726	0.999718						
04236														-1.312992	-9.483099	-1.825220	0.999605	-0.028022	0.001938	0.028061	0.999310	-0.024345	-0.001254	0.024390	0.999702						
