// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4D4CD
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Year	Month	Day	Second	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]	Latitude	Longitude	Altitude	Vel_E	Vel_N	Vel_U
04221														1.068287	-9.867757	-0.126294	0.999942	-0.010160	0.003645	0.010221	0.999799	-0.017251	-0.003469	0.017287	0.999845						
04222														1.094445	-9.752551	-0.030804	0.999938	-0.010139	0.004560	0.010220	0.999784	-0.018124	-0.004375	0.018169	0.999825						
04223														0.920599	-9.699024	-0.163346	0.999938	-0.009694	0.005536	0.009797	0.999776	-0.018779	-0.005352	0.018832	0.999808						
04224														1.059789	-9.712622	-0.131585	0.999928	-0.010181	0.006305	0.010300	0.999765	-0.019078	-0.006109	0.019141	0.999798						
04225														1.099836	-9.735365	-0.148962	0.999922	-0.010455	0.006779	0.010585	0.999756	-0.019407	-0.006575	0.019477	0.999789						
04226														1.064009	-9.716868	-0.247350	0.999921	-0.010234	0.007331	0.010378	0.999751	-0.019761	-0.007127	0.019835	0.999778						
04227														1.097042	-9.581099	-0.178790	0.999918	-0.010382	0.007531	0.010530	0.999746	-0.019944	-0.007322	0.020022	0.999773						
04228														1.272134	-9.412880	-0.102116	0.999904	-0.011208	0.008109	0.011382	0.999699	-0.021727	-0.007863	0.021817	0.999731						
04229														1.304303	-9.946892	-0.607759	0.999862	-0.011179	0.012253	0.011486	0.999614	-0.025298	-0.011965	0.025435	0.999605						
04230														0.384065	-10.184497	-0.219373	0.999838	-0.006280	0.016892	0.006731	0.999619	-0.026767	-0.016718	0.026877	0.999499						
04231														0.672519	-10.185315	0.140631	0.999823	0.005285	0.018079	-0.004798	0.999626	-0.026917	-0.018214	0.026825	0.999474						
04232														1.254797	-9.490072	0.157563	0.999725	0.016702	0.016491	-0.016275	0.999538	-0.025664	-0.016912	0.025389	0.999535						
04233														1.175276	-9.434552	-0.053993	0.999576	0.025898	0.013318	-0.025569	0.999377	-0.024323	-0.013940	0.023973	0.999615						
04234														0.835899	-9.512237	-0.003608	0.999240	0.037723	0.009843	-0.037491	0.999038	-0.022764	-0.010692	0.022378	0.999692						
04235														1.329039	-9.529356	-0.089794	0.998718	0.050298	0.005720	-0.050170	0.998528	-0.020613	-0.006749	0.020300	0.999771						
04236														1.436897	-9.759899	-0.362526	0.998150	0.060742	0.002451	-0.060688	0.997990	-0.018246	-0.003555	0.018064	0.999831						
04237														1.412445	-9.805418	-0.443420	0.997662	0.068348	-0.000056	-0.068341	0.997536	-0.015832	-0.001026	0.015799	0.999875						
04238														1.453465	-9.634416	-0.419546	0.997433	0.071589	-0.001467	-0.071603	0.997330	-0.014350	0.000436	0.014419	0.999896						
04239														1.346190	-9.692750	-0.226203	0.997450	0.071345	-0.001951	-0.071365	0.997354	-0.013824	0.000959	0.013928	0.999903						
04240														0.895336	-9.723406	-0.040439	0.997448	0.071376	-0.001605	-0.071391	0.997346	-0.014314	0.000579	0.014392	0.999896						
04241														1.072966	-9.700915	-0.133152	0.997349	0.072742	-0.001876	-0.072762	0.997237	-0.014988	0.000780	0.015085	0.999886						
04242														1.283090	-9.676997	-0.361689	0.997436	0.071526	-0.002209	-0.071552	0.997315	-0.015609	0.001087	0.015727	0.999876						
04243														1.281985	-9.685384	-0.397602	0.997767	0.066748	-0.002201	-0.066774	0.997646	-0.015643	0.001152	0.015755	0.999875						
04244														0.952004	-9.699379	-0.282835	0.998033	0.062666	-0.001816	-0.062687	0.997906	-0.015931	0.000814	0.016014	0.999871						
04245														1.055144	-9.668919	-0.206570	0.998338	0.057590	-0.001909	-0.057615	0.998190	-0.017238	0.000913	0.017320	0.999850						
04246														1.040791	-9.765643	-0.182908	0.998663	0.051669	-0.001461	-0.051688	0.998483	-0.018965	0.000478	0.019016	0.999819						
04247														0.676119	-9.760967	-0.042054	0.998845	0.048030	-0.001304	-0.048046	0.998640	-0.020247	0.000330	0.020286	0.999794						
04248														0.901258	-9.708686	-0.192377	0.999030	0.044017	-0.001517	-0.044040	0.998797	-0.021585	0.000565	0.021631	0.999766						
04249														1.174505	-9.768626	-0.200061	0.999234	0.039121	-0.001389	-0.039143	0.998970	-0.022950	0.000490	0.022987	0.999736						
04250														0.978446	-9.791352	-0.289992	0.999380	0.035188	-0.000685	-0.035194	0.999085	-0.024315	-0.000171	0.024324	0.999704						
04251														0.888581	-9.777812	-0.313218	0.999469	0.032588	0.000361	-0.032568	0.999124	-0.026285	-0.001217	0.026260	0.999654						
04252														1.108260	-9.785549	-0.266873	0.999550	0.029978	0.000894	-0.029940	0.999142	-0.028629	-0.001752	0.028590	0.999590						
04253														1.015700	-9.797487	-0.307579	0.999605	0.028068	0.001671	-0.028003	0.999129	-0.030929	-0.002538	0.030870	0.999520						
04254														0.792482	-9.773021	-0.218730	0.999613	0.027714	0.002215	-0.027626	0.999080	-0.032811	-0.003122	0.032737	0.999459						
04255														1.132021	-9.614620	-0.119904	0.999646	0.026475	0.002650	-0.026369	0.999068	-0.034176	-0.003552	0.034094	0.999412						
04256														0.907760	-9.733029	-0.148121	0.999671	0.025425	0.003326	-0.025290	0.999047	-0.035577	-0.004228	0.035481	0.999361						
04257														0.770178	-9.818846	-0.268487	0.999614	0.027545	0.003725	-0.027390	0.998957	-0.036547	-0.004728	0.036431	0.999325						
04258														1.370016	-9.753042	-0.349955	0.999578	0.028784	0.004019	-0.028616	0.998904	-0.037032	-0.005080	0.036901	0.999306						
